EmployeeNumber,Name,gender,Branch,Date of join,Date of leaving
1216,Peter Zammett,Male,Baltimore,21-02-2018,
1225,Thacher Bogace,Male,Baltimore,15-06-2018,
1234,Jarvis Kaesmans,Male,Baltimore,09-07-2018,
1237,Giacobo Ashmore,Male,Baltimore,28-05-2018,
1249,Hymie Fuggles,Male,Baltimore,05-02-2018,
1255,Gian Thrush,Male,Baltimore,27-07-2018,
1265,Gael Schwander,Male,Baltimore,03-04-2018,
1296,Sonnie Letixier,Male,Baltimore,16-10-2018,
1336,Michale Siret,Male,Baltimore,17-01-2018,
1350,Rowan Cardozo,Male,Baltimore,05-09-2018,
1363,Leonidas Wedlake,Male,Baltimore,03-07-2018,
1390,Patty Hardistry,Male,Baltimore,26-01-2018,
1423,Burk McCarlie,Male,Baltimore,05-01-2018,
1443,Kristopher Hantusch,Male,Baltimore,01-12-2018,
1449,Hunfredo Burgyn,Male,Baltimore,03-10-2018,
1453,Neall Hulke,Male,Baltimore,29-04-2018,
1467,Curran Gyorgy,Male,Baltimore,03-01-2018,
1513,Renato Richie,Male,Baltimore,18-11-2018,
1522,Edik Liffe,Male,Baltimore,28-05-2018,
1544,Gawen Franzel,Male,Baltimore,12-07-2018,
1553,Donnell Shapter,Male,Baltimore,12-09-2018,
1568,Reube Ruckman,Male,Baltimore,09-04-2018,
1581,Elmo Bromehed,Male,Baltimore,25-02-2018,
1586,Dall Conechie,Male,Baltimore,09-05-2018,
1618,Eldin Oakenfield,Male,Baltimore,04-04-2018,
1656,Ode Drinkhall,Male,Baltimore,19-11-2018,
1669,Shermy Ashling,Male,Baltimore,26-01-2019,
1675,Glynn Powys,Male,Baltimore,07-02-2018,
1684,Joachim Verny,Male,Baltimore,09-11-2018,
1712,Kristofer Twell,Male,Baltimore,19-08-2018,
1727,Karl Please,Male,Baltimore,26-06-2018,
1739,Antonio Perone,Male,Baltimore,09-01-2019,
1745,Kasper McGreary,Male,Baltimore,02-05-2018,
1751,Urbano Baumadier,Male,Baltimore,07-01-2018,
1755,Randall Mea,Male,Baltimore,09-08-2018,
1760,Terrell Witton,Male,Baltimore,04-06-2018,
1761,Sim Bradwell,Male,Baltimore,25-05-2018,
1763,Charley Stroyan,Male,Baltimore,23-08-2018,
1764,Niccolo Santori,Male,Baltimore,22-12-2018,
1779,Grove Speedin,Male,Baltimore,28-05-2018,
1783,Dalston O'Nion,Male,Baltimore,09-05-2018,
1812,Axe Owlner,Male,Baltimore,09-02-2019,
1830,Eustace Happs,Male,Baltimore,14-12-2018,
1854,Garth Siemantel,Male,Baltimore,11-07-2018,
1858,Dallon Sambrok,Male,Baltimore,17-09-2018,
1862,Wylie Blanckley,Male,Baltimore,12-12-2018,
1876,Walton Gusticke,Male,Baltimore,15-11-2018,
1924,Lazare Gollin,Male,Baltimore,18-02-2019,
1952,Samuele Storrah,Male,Baltimore,03-01-2018,
1955,Chrisy Judgkins,Male,Baltimore,01-08-2018,
2008,Thayne Chappelow,Male,Baltimore,31-12-2018,
2023,Armand Beauvais,Male,Baltimore,01-02-2018,
2027,Berne Nix,Male,Baltimore,29-09-2018,
2032,Markus Westcot,Male,Baltimore,14-09-2018,
7,Nicoli Claussen,Female,Washington DC,16-08-2018,
18,Mora Dunkerton,Female,Washington DC,26-02-2018,
38,Olympe Dawkes,Female,Washington DC,07-11-2018,
56,Rozanna Layborn,Female,Washington DC,04-12-2018,
77,Ebba Fitchell,Female,Washington DC,18-01-2019,
126,Marylee Olanda,Female,Washington DC,02-03-2018,
153,Gisella Loosley,Female,Washington DC,17-10-2018,
174,Adena Dressel,Female,Washington DC,15-02-2019,
233,Briny Rapps,Female,Washington DC,03-02-2018,
238,Erminie Whatling,Female,Washington DC,19-05-2018,
260,Letisha Leithgoe,Female,Washington DC,06-10-2018,
271,Aggie Gawne,Female,Washington DC,06-01-2019,
286,Starr Danielski,Female,Washington DC,10-01-2018,
314,Sherie Venour,Female,Washington DC,14-09-2018,
316,Dinnie Petruska,Female,Washington DC,29-07-2018,
346,Dianna Heffernan,Female,Washington DC,15-04-2018,
374,Sybille Muro,Female,Washington DC,04-01-2019,
449,Dinnie McAree,Female,Washington DC,17-01-2019,
485,Elora French,Female,Washington DC,17-10-2018,
493,Juana Gregore,Female,Washington DC,21-09-2018,
511,Susie Defrain,Female,Washington DC,16-02-2019,
514,Fredra Deyes,Female,Washington DC,02-07-2018,
518,Gert Standeven,Female,Washington DC,27-01-2018,
527,Jacynth Goolden,Female,Washington DC,13-09-2018,
604,Myrlene Braundt,Female,Washington DC,26-07-2018,
611,Hendrika Espine,Female,Washington DC,02-10-2018,
709,Eadith Tyre,Female,Washington DC,05-04-2018,
729,Rowena Wernher,Female,Washington DC,02-06-2018,
741,Shirlee Challener,Female,Washington DC,20-08-2018,
749,Felicity Treher,Female,Washington DC,05-01-2018,
764,Hildagard Prestage,Female,Washington DC,08-11-2018,
808,Lorna Troth,Female,Washington DC,11-01-2018,
813,Betteanne Corringham,Female,Washington DC,22-12-2018,
817,Lucia Middlemist,Female,Washington DC,20-05-2018,
819,Bobette Beetham,Female,Washington DC,03-06-2018,
838,Renell Doumerque,Female,Washington DC,14-01-2019,
843,Beret Jakoubec,Female,Washington DC,29-01-2018,
879,Cristen Rastrick,Female,Washington DC,01-05-2018,
926,Mariele Wartonby,Female,Washington DC,22-02-2018,
939,Ardine Crayton,Female,Washington DC,15-02-2019,
944,Casi Ellwell,Female,Washington DC,25-02-2019,
984,Retha Haslam,Female,Washington DC,29-05-2018,
1094,Mariele Abreheart,Female,Washington DC,28-11-2018,
1106,Melita Ablett,Female,Washington DC,04-01-2019,
1108,Carma Grob,Female,Washington DC,02-01-2018,
1210,Gladys Clack,Female,Washington DC,27-10-2018,
1219,Aloisia Vido,Female,Washington DC,05-05-2018,
1235,Meade Proffitt,Female,Washington DC,21-02-2019,
1244,Viviana Yewdall,Female,Washington DC,03-06-2018,
1263,Siusan Cohr,Female,Washington DC,10-07-2018,
1307,Dori Smalman,Female,Washington DC,27-10-2018,
1333,Deane Snoddon,Female,Washington DC,01-01-2018,
1360,Joellen Clilverd,Female,Washington DC,09-12-2018,
1373,Annalee Narrie,Female,Washington DC,12-03-2018,
1375,Nonnah Grishelyov,Female,Washington DC,10-01-2019,
1383,Vinita Casewell,Female,Washington DC,05-12-2018,
1403,Juditha Cholmondeley,Female,Washington DC,22-01-2018,
1405,Sascha Wiltshear,Female,Washington DC,26-01-2019,
1408,Alfi Dedon,Female,Washington DC,14-02-2019,
1481,Teddi Tolland,Female,Washington DC,30-08-2018,
1506,Ruthanne Mossom,Female,Washington DC,07-07-2018,
1535,Lonni Wycherley,Female,Washington DC,18-09-2018,
1562,Cheri Uebel,Female,Washington DC,23-08-2018,
1585,Stephanie Gardener,Female,Washington DC,01-05-2018,
1625,Brittan Merigeau,Female,Washington DC,08-02-2019,
1650,Benedetta Stanbra,Female,Washington DC,16-11-2018,
1668,Zonnya Buer,Female,Washington DC,31-05-2018,
1694,Harrietta Kondrat,Female,Washington DC,06-02-2019,
1700,Flor Vennard,Female,Washington DC,21-10-2018,
1710,Leyla Kliemann,Female,Washington DC,26-06-2018,
1714,Stoddard Dilleston,Female,Washington DC,21-01-2019,
1719,Billi Fluger,Female,Washington DC,06-06-2018,
1754,Merrielle Gerard,Female,Washington DC,28-11-2018,
1775,Raychel Saggs,Female,Washington DC,20-12-2018,
1780,Reggie Malafe,Female,Washington DC,22-01-2018,
1794,Inge Yeld,Female,Washington DC,07-01-2019,
1818,Eugenie Hellwing,Female,Washington DC,14-10-2018,
1863,Annaliese Cavalier,Female,Washington DC,25-07-2018,
1905,Nomi Soanes,Female,Washington DC,01-02-2018,
1967,Edee O'Lehane,Female,Washington DC,01-03-2018,
1968,Kendre Laye,Female,Washington DC,01-10-2018,
1987,Stefa O'Hingerty,Female,Washington DC,16-12-2018,
1995,Kassia Gimbrett,Female,Washington DC,07-08-2018,
2022,Chiquita Hadley,Female,Washington DC,21-10-2018,
2035,Carolyne Pounds,Female,Washington DC,09-06-2018,
2037,Klarika Dodson,Female,Washington DC,17-06-2018,
2053,Janey Sowle,Female,Washington DC,12-11-2018,
2065,Shawna Meriott,Female,Washington DC,26-04-2018,
13,Peter Pippin,Male,Washington DC,07-02-2019,
27,Renard Shaddick,Male,Washington DC,08-06-2018,
79,Barthel Sinnat,Male,Washington DC,07-01-2018,
80,Steffen Eayrs,Male,Washington DC,10-06-2018,
81,Murvyn Avrahamy,Male,Washington DC,26-03-2018,
101,Broddie Threlfall,Male,Washington DC,29-10-2018,
176,Gage Habbal,Male,Washington DC,09-01-2019,
193,Barclay Joynt,Male,Washington DC,28-03-2018,
243,Emanuele Harrop,Male,Washington DC,23-04-2018,
262,Quentin Rawsthorne,Male,Washington DC,03-08-2018,
267,Ricky McRitchie,Male,Washington DC,02-01-2019,
287,Skippie Goulborn,Male,Washington DC,20-04-2018,
311,Clemens Heinicke,Male,Washington DC,21-02-2019,
331,Mandel Gayther,Male,Washington DC,12-02-2019,
377,Claudianus Waldrum,Male,Washington DC,06-07-2018,
378,Tan Freake,Male,Washington DC,23-08-2018,
386,Eduard Andrieux,Male,Washington DC,05-08-2018,
395,Gordon Cottill,Male,Washington DC,25-03-2018,
416,Horatius Stanney,Male,Washington DC,21-05-2018,
420,Ikey Britney,Male,Washington DC,26-07-2018,
424,Gradeigh Minichillo,Male,Washington DC,07-07-2018,
428,Roscoe Askie,Male,Washington DC,29-06-2018,
436,Diego Foy,Male,Washington DC,19-01-2018,
437,Alphard Jeffress,Male,Washington DC,04-01-2019,
464,Edgard Maddams,Male,Washington DC,25-05-2018,
468,Gunner Jouandet,Male,Washington DC,11-02-2018,
482,Dale Gentry,Male,Washington DC,24-02-2018,
538,Gran Rosin,Male,Washington DC,10-04-2018,
562,Evan Hemstead,Male,Washington DC,01-01-2019,
585,Barron Battram,Male,Washington DC,21-04-2018,
614,Dennison Alkins,Male,Washington DC,05-05-2018,
632,Darrell Gianulli,Male,Washington DC,13-10-2018,
635,Bond Yaakov,Male,Washington DC,06-02-2018,
652,Dew Seaborne,Male,Washington DC,19-09-2018,
657,Pat Dudeney,Male,Washington DC,25-02-2019,
664,Noby Crabbe,Male,Washington DC,22-02-2019,
680,Tremain Follett,Male,Washington DC,05-10-2018,
742,Dru Ikins,Male,Washington DC,06-05-2018,
791,Cord Murtimer,Male,Washington DC,04-02-2018,
796,Micky Abramof,Male,Washington DC,31-08-2018,
812,Sinclare Wolstenholme,Male,Washington DC,27-08-2018,
840,Duke Kerins,Male,Washington DC,08-11-2018,
846,Frankie Borrel,Male,Washington DC,14-01-2019,
856,Joseph Castanaga,Male,Washington DC,12-02-2019,
878,Hartwell Pennuzzi,Male,Washington DC,30-01-2019,
888,Bar Ovenden,Male,Washington DC,06-11-2018,
894,Thaddeus Bridel,Male,Washington DC,08-08-2018,
899,Brook Rojahn,Male,Washington DC,10-04-2018,
918,Abran Lickorish,Male,Washington DC,28-09-2018,
923,Oates Christou,Male,Washington DC,03-01-2019,
927,Noel Willman,Male,Washington DC,25-07-2018,
1042,Kevan Decaze,Male,Washington DC,22-05-2018,
1114,Sandy Elsley,Male,Washington DC,15-05-2018,
1115,Ripley Abramof,Male,Washington DC,24-04-2018,
1119,Sinclare Buzek,Male,Washington DC,06-12-2018,
1128,Dorian Lofty,Male,Washington DC,01-09-2018,
1132,Dolf Pardy,Male,Washington DC,10-10-2018,
1203,Wade Selkirk,Male,Washington DC,01-01-2018,
1245,Pinchas Rubinlicht,Male,Washington DC,10-09-2018,
1349,Berton Knobell,Male,Washington DC,27-02-2018,
1371,Stanleigh Currin,Male,Washington DC,11-02-2019,
1380,Lind Mityushkin,Male,Washington DC,19-07-2018,
1392,Ty Craster,Male,Washington DC,23-12-2018,
1427,Conroy Greneham,Male,Washington DC,05-12-2018,
1428,Fransisco Senecaux,Male,Washington DC,04-09-2018,
1440,Al Wiltshier,Male,Washington DC,17-01-2018,
1458,Bentley Malcolm,Male,Washington DC,15-10-2018,
1554,Brendan Enrietto,Male,Washington DC,14-11-2018,
1573,Stevy Borrington,Male,Washington DC,06-12-2018,
1578,Layton Snalham,Male,Washington DC,30-01-2018,
1582,Shep Kynton,Male,Washington DC,06-05-2018,
1594,Marwin Milillo,Male,Washington DC,11-07-2018,
1605,Donnie Bartosiak,Male,Washington DC,09-10-2018,
1653,Frederick Gurner,Male,Washington DC,02-05-2018,
1674,Lucian Patridge,Male,Washington DC,25-09-2018,
1676,Georgi McCloughlin,Male,Washington DC,29-08-2018,
1689,Pearce Forre,Male,Washington DC,20-08-2018,
1703,Bowie Piegrome,Male,Washington DC,27-10-2018,
1704,Randall Dmitriev,Male,Washington DC,19-11-2018,
1725,Foss McQuillan,Male,Washington DC,13-09-2018,
1809,Vincenz Amis,Male,Washington DC,27-09-2018,
1837,Ronnie Bagnold,Male,Washington DC,30-06-2018,
1993,Mel Doge,Male,Washington DC,25-07-2018,
1997,Rustie Lammenga,Male,Washington DC,04-04-2018,
2014,Stu O'Sharkey,Male,Washington DC,09-07-2018,
2019,Stanly Witherbed,Male,Washington DC,09-09-2018,
2061,Alfons O'Sculley,Male,Washington DC,16-08-2018,
20,Wynne Bucham,Female,Orlando,19-09-2018,
63,Clair Bromhead,Female,Orlando,11-02-2018,
70,Vikki Westcot,Female,Orlando,06-02-2018,
134,Sofie Murney,Female,Orlando,30-03-2018,
137,Jami Linfield,Female,Orlando,28-07-2018,
160,Fredericka Lob,Female,Orlando,05-06-2018,
163,Sashenka Hitzmann,Female,Orlando,21-07-2018,
184,Daryn Gandy,Female,Orlando,26-08-2018,
197,Hedvige Kemwal,Female,Orlando,04-08-2018,
199,Ami Gresty,Female,Orlando,28-03-2018,
226,Afton Manuele,Female,Orlando,11-11-2018,
240,Novelia Strut,Female,Orlando,03-10-2018,
300,Chryste Capozzi,Female,Orlando,24-01-2018,
307,Adelaida Sommersett,Female,Orlando,24-04-2018,
309,Gisele Jorn,Female,Orlando,20-01-2018,
392,Fancy Belasco,Female,Orlando,18-02-2018,
476,Olva Cornau,Female,Orlando,05-08-2018,
481,Tracey Hazlegrove,Female,Orlando,16-07-2018,
618,Ginnifer Yves,Female,Orlando,12-10-2018,
623,Tisha Twinbourne,Female,Orlando,23-01-2019,
645,Brande Martonfi,Female,Orlando,18-12-2018,
683,Christine Dryburgh,Female,Orlando,20-06-2018,
714,Glyn Ovesen,Female,Orlando,07-01-2019,
715,Susanna Pirelli,Female,Orlando,04-02-2019,
775,Sarena Jerzak,Female,Orlando,08-06-2018,
784,Martita Moncreif,Female,Orlando,05-05-2018,
803,Arleta Buckthorp,Female,Orlando,13-05-2018,
905,Dorelle Dallicott,Female,Orlando,02-11-2018,
910,Tessa Defraine,Female,Orlando,17-09-2018,
986,Nonie Coldrick,Female,Orlando,14-09-2018,
990,Jaquith Vannuccini,Female,Orlando,18-01-2019,
1029,Ardisj Dumke,Female,Orlando,12-03-2018,
1088,Latia Storck,Female,Orlando,24-03-2018,
1100,Novelia Carcas,Female,Orlando,26-03-2018,
1107,Martha Soares,Female,Orlando,01-01-2018,
1116,Loni Guyet,Female,Orlando,12-06-2018,
1118,Kerrill Reaper,Female,Orlando,06-02-2019,
1125,Carlie Eggers,Female,Orlando,25-01-2019,
1152,Norrie MacPhaden,Female,Orlando,04-04-2018,
1164,Stephannie Trenouth,Female,Orlando,25-03-2018,
1171,Karlie Cowope,Female,Orlando,03-05-2018,
1256,Ashleigh Duggen,Female,Orlando,30-04-2018,
1267,Guendolen Chase,Female,Orlando,14-09-2018,
1278,Lorry Donaghy,Female,Orlando,25-11-2018,
1311,Hyacinthie Rickis,Female,Orlando,25-03-2018,
1344,Kai Birtley,Female,Orlando,13-04-2018,
1362,Joelle Moylan,Female,Orlando,01-05-2018,
1542,Dawn Fonteyne,Female,Orlando,26-01-2019,
1545,Daisy Brand,Female,Orlando,11-06-2018,
1678,Florette Mc Gee,Female,Orlando,24-08-2018,
1736,Doro Kellard,Female,Orlando,29-08-2018,
1753,Vida Vacher,Female,Orlando,27-11-2018,
1842,Dulci Kleewein,Female,Orlando,16-12-2018,
1852,Janine Pitford,Female,Orlando,28-04-2018,
1882,Nessie Edes,Female,Orlando,11-06-2018,
1886,Teressa Ratter,Female,Orlando,05-03-2018,
1944,Brigit Proudlove,Female,Orlando,10-11-2018,
1948,Caty Yewdale,Female,Orlando,16-07-2018,
1961,Klarika Crosfeld,Female,Orlando,18-01-2019,
11,Reamonn Reneke,Male,Orlando,24-06-2018,
14,Mel Pennigar,Male,Orlando,12-06-2018,
46,Corey Debney,Male,Orlando,12-10-2018,
49,Patric Bunce,Male,Orlando,22-12-2018,
72,Vincenz Thurlbourne,Male,Orlando,25-09-2018,
140,Teddy Bugge,Male,Orlando,10-05-2018,
151,Freeland Gentzsch,Male,Orlando,31-10-2018,
152,Yorgo Summersett,Male,Orlando,11-02-2018,
167,Somerset Gillie,Male,Orlando,06-07-2018,
192,Mathias Blethin,Male,Orlando,19-03-2018,
206,Alphard Lauret,Male,Orlando,20-06-2018,
214,Greg Carnew,Male,Orlando,03-02-2018,
218,Cirillo Cowe,Male,Orlando,04-02-2018,
334,Garret Crunkhurn,Male,Orlando,06-11-2018,
341,Pietro Jaram,Male,Orlando,28-09-2018,
350,Lance Hagergham,Male,Orlando,11-12-2018,
361,Cobbie Hubane,Male,Orlando,07-12-2018,
397,Delainey Georgeson,Male,Orlando,09-12-2018,
399,Barnaby Oldland,Male,Orlando,15-04-2018,
406,Vanya Shellshear,Male,Orlando,16-02-2018,
410,Niccolo Raven,Male,Orlando,21-08-2018,
445,Alix Neiland,Male,Orlando,25-06-2018,
471,Davon Asser,Male,Orlando,06-08-2018,
473,Skipper Frantsev,Male,Orlando,17-02-2018,
487,Killie Bolley,Male,Orlando,24-11-2018,
502,Kenon Bhar,Male,Orlando,08-02-2019,
521,Aldous Fernao,Male,Orlando,07-04-2018,
532,Herb Dalgarnowch,Male,Orlando,16-12-2018,
558,Harald Houten,Male,Orlando,13-03-2018,
581,Angus Sculpher,Male,Orlando,12-02-2018,
592,Papageno Roocroft,Male,Orlando,22-02-2019,
593,Vincenty Ionnisian,Male,Orlando,19-08-2018,
597,Isidore Lehrer,Male,Orlando,04-11-2018,
648,Weidar Boland,Male,Orlando,30-04-2018,
653,Muhammad Hiscoke,Male,Orlando,25-01-2019,
679,Keane Burgum,Male,Orlando,24-02-2019,
760,Jeffy Etienne,Male,Orlando,11-02-2018,
766,Abram Strike,Male,Orlando,16-08-2018,
793,Iver Roffe,Male,Orlando,22-07-2018,
809,Prentice Tonks,Male,Orlando,12-01-2019,
823,Korey Frostdyke,Male,Orlando,25-09-2018,
867,Mathias Mengue,Male,Orlando,26-05-2018,
903,Winifield Newcomb,Male,Orlando,05-06-2018,
967,Janek Anstey,Male,Orlando,18-05-2018,
987,Sebastien I'anson,Male,Orlando,04-05-2018,
1007,Art Oram,Male,Orlando,27-01-2018,
1019,Lambert Wesson,Male,Orlando,16-01-2019,
1105,Iggie Hedditch,Male,Orlando,21-07-2018,
1120,Nollie Amburgy,Male,Orlando,19-08-2018,
1136,Garwood Kinze,Male,Orlando,22-02-2018,
1182,Mycah Abbatini,Male,Orlando,12-03-2018,
1192,Hailey Adie,Male,Orlando,19-04-2018,
1280,Jerry Fleckness,Male,Orlando,09-02-2018,
1292,Morly Handforth,Male,Orlando,11-06-2018,
1306,Hermie Shapcott,Male,Orlando,02-03-2018,
1411,Roderigo Halworth,Male,Orlando,17-09-2018,
1417,Tally Payler,Male,Orlando,23-03-2018,
1466,Linoel Mollene,Male,Orlando,09-09-2018,
1501,Roderigo Eagles,Male,Orlando,12-05-2018,
1533,Skyler Peter,Male,Orlando,02-09-2018,
1574,Care Vasilyev,Male,Orlando,27-10-2018,
1591,Arlen Betke,Male,Orlando,20-09-2018,
1597,Selby Belhome,Male,Orlando,17-06-2018,
1602,Neal Tulley,Male,Orlando,07-10-2018,
1640,Marshall Thornthwaite,Male,Orlando,03-01-2018,
1683,Renard Annetts,Male,Orlando,31-01-2019,
1693,Quint Jee,Male,Orlando,28-02-2019,
1721,Augustus Scolland,Male,Orlando,23-06-2018,
1724,Torrin Pencott,Male,Orlando,06-11-2018,
1733,Sigismundo Bedbrough,Male,Orlando,08-10-2018,
1799,Feliks Clowser,Male,Orlando,16-05-2018,
1813,Pryce Astridge,Male,Orlando,11-11-2018,
1822,Berkie Biever,Male,Orlando,17-01-2019,
1856,Iorgos Boeck,Male,Orlando,29-10-2018,
1860,Lauritz Nisby,Male,Orlando,06-02-2019,
1871,Vick Lathey,Male,Orlando,02-06-2018,
1900,Niel Lumsdall,Male,Orlando,19-02-2019,
1915,Brannon Sygrove,Male,Orlando,24-01-2018,
2018,Ewan Arstall,Male,Orlando,03-01-2019,
26,Dylan Georg,Male,Miami,12-02-2018,
65,Barbaraanne Roback,Female,Miami,04-01-2018,
76,Michell Nund,Female,Miami,28-02-2019,
106,Dalis Tylor,Male,Miami,09-04-2018,
107,Vikki Kinge,Female,Miami,10-09-2018,
124,Filberte Nunns,Male,Miami,24-05-2018,
129,Lynelle Sawford,Female,Miami,22-03-2018,
141,Gillan Lebourn,Female,Miami,09-05-2018,
142,Harriot Dudliston,Female,Miami,13-01-2018,
159,Farlie Grief,Male,Miami,27-01-2019,
169,Charin Yarranton,Female,Miami,21-05-2018,
182,Bentlee Aucott,Male,Miami,12-09-2018,
195,Abie Ralls,Male,Miami,20-05-2018,
201,Joane Dwyer,Female,Miami,04-07-2018,
221,Sheela de Mullett,Female,Miami,14-05-2018,
252,Erick Rubenov,Male,Miami,20-06-2018,
254,Krystle Itzcovich,Female,Miami,15-04-2018,
258,Bryn Imlen,Male,Miami,07-04-2018,
291,Linet Kenshole,Female,Miami,05-06-2018,
306,Sammie Gladbeck,Male,Miami,09-02-2019,
323,Dimitri MacKeeg,Male,Miami,03-09-2018,
330,Carly Eveling,Male,Miami,22-03-2018,
336,Pammy Charleston,Female,Miami,14-01-2018,
389,Winston Gergher,Male,Miami,23-05-2018,
405,Phylys Kinsman,Female,Miami,19-05-2018,
419,Gaspar Caves,Male,Miami,06-01-2018,
433,Freeland Deares,Male,Miami,25-03-2018,
466,Ranee O'Concannon,Female,Miami,01-06-2018,
469,Morgan Weigh,Male,Miami,24-03-2018,
470,Harvey Puddan,Male,Miami,21-07-2018,
497,Francyne Grindlay,Female,Miami,14-07-2018,
505,Randie Brunone,Male,Miami,24-09-2018,
517,Dyane Rikkard,Female,Miami,30-03-2018,
531,Cale Dublin,Male,Miami,27-01-2019,
550,Bobette Chamberlen,Female,Miami,06-03-2018,
568,King Howorth,Male,Miami,08-11-2018,
569,Flemming Lisciardelli,Male,Miami,25-06-2018,
625,Lev Dottrell,Male,Miami,05-05-2018,
626,Ansell Dymidowicz,Male,Miami,07-05-2018,
639,Janette Simic,Female,Miami,05-12-2018,
650,Cecil Zanelli,Female,Miami,23-02-2018,
661,Hal Ebbutt,Male,Miami,27-07-2018,
692,Thea Raulstone,Female,Miami,28-10-2018,
705,Caitlin Craythorn,Female,Miami,17-12-2018,
707,Emlyn Vaan,Female,Miami,09-01-2019,
721,Phil Kaley,Male,Miami,06-04-2018,
752,Meara Trustrie,Female,Miami,03-09-2018,
781,Jo ann Epilet,Female,Miami,07-02-2018,
783,Romeo Bache,Male,Miami,18-01-2019,
824,Mona Dillinger,Female,Miami,01-02-2019,
827,Gilli Dufoure,Female,Miami,28-02-2019,
857,Janos Byas,Male,Miami,24-03-2018,
880,Quintin O'Noland,Male,Miami,29-06-2018,
900,Thomasa Penke,Female,Miami,07-12-2018,
922,Carr Skokoe,Male,Miami,22-06-2018,
930,Catlaina Deeks,Female,Miami,30-07-2018,
950,Amelina Ciardo,Female,Miami,24-05-2018,
961,Pascale Shayes,Male,Miami,02-01-2018,
981,Geoffry Febry,Male,Miami,07-10-2018,
992,Corette Castagnone,Female,Miami,17-01-2018,
1005,Karney Jindra,Male,Miami,03-02-2018,
1012,Allyce Grayling,Female,Miami,31-08-2018,
1027,Vivienne Cristofari,Female,Miami,27-10-2018,
1036,Had Hardy,Male,Miami,19-03-2018,
1080,Booth Bradley,Male,Miami,10-04-2018,
1082,Lara Fairlem,Female,Miami,18-02-2019,
1111,Tiffi Rimmington,Female,Miami,22-06-2018,
1121,Dionisio Moakson,Male,Miami,16-02-2019,
1126,Skell Bloodworth,Male,Miami,27-12-2018,
1131,Joela Hargess,Female,Miami,16-07-2018,
1140,Devland Thackeray,Male,Miami,07-02-2019,
1150,Othello Mound,Male,Miami,17-09-2018,
1156,Seana Hasted,Female,Miami,01-01-2019,
1167,Jayme Beckles,Female,Miami,08-09-2018,
1180,Bibi Domanek,Female,Miami,23-07-2018,
1231,Denni Stoffersen,Female,Miami,29-07-2018,
1240,Lazarus Darey,Male,Miami,13-06-2018,
1250,Emogene Plumb,Female,Miami,24-09-2018,
1258,Ailyn Seldon,Female,Miami,28-01-2018,
1268,Rae Orht,Female,Miami,26-07-2018,
1273,Brita Columbine,Female,Miami,27-08-2018,
1282,Caritta Hegley,Female,Miami,02-09-2018,
1286,Tomasine Iacobassi,Female,Miami,16-02-2019,
1288,Brynn Philcott,Female,Miami,26-04-2018,
1297,Pete Duchart,Male,Miami,05-04-2018,
1314,Kay Mollen,Female,Miami,15-08-2018,
1319,Elnar Keyden,Male,Miami,03-02-2018,
1340,Ransom Esmond,Male,Miami,31-07-2018,
1379,Bartlett Leist,Male,Miami,10-03-2018,
1394,Guillermo Paschke,Male,Miami,21-01-2019,
1425,Beckie Blumfield,Female,Miami,17-04-2018,
1448,Carlos Wellstood,Male,Miami,25-05-2018,
1472,Kiley Murley,Male,Miami,29-08-2018,
1475,Ileana Espino,Female,Miami,11-07-2018,
1480,Brannon Yewdall,Male,Miami,16-04-2018,
1520,Cyril Liddell,Male,Miami,30-05-2018,
1547,Analise Wagge,Female,Miami,29-08-2018,
1557,Ingrim Redmain,Male,Miami,09-08-2018,
1607,Klement Castaignet,Male,Miami,06-01-2019,
1613,Jose Sutty,Male,Miami,11-01-2018,
1619,Hill Standrin,Male,Miami,14-08-2018,
1621,Marinna Trussler,Female,Miami,09-03-2018,
1624,Ambrosi Spain,Male,Miami,17-01-2018,
1645,Esteban Lubeck,Male,Miami,05-02-2018,
1662,Margi Pepperill,Female,Miami,05-02-2019,
1664,Marion Ivery,Female,Miami,17-08-2018,
1671,Edward Haysman,Male,Miami,28-12-2018,
1692,Norbie McRoberts,Male,Miami,17-02-2019,
1701,Avery Kenwyn,Male,Miami,14-05-2018,
1728,Chicky Stive,Male,Miami,13-09-2018,
1729,Ursulina McTrusty,Female,Miami,17-06-2018,
1770,Wallache Caddick,Male,Miami,09-02-2018,
1782,Chaim O'Dea,Male,Miami,01-02-2018,
1881,Jule Stevings,Male,Miami,02-08-2018,
1943,Edan Rawlinson,Male,Miami,15-12-2018,
1974,Codi Foggo,Female,Miami,27-07-2018,
1975,Veradis Peter,Female,Miami,14-05-2018,
2016,Bondy Bradneck,Male,Miami,13-07-2018,
52,Koren Callinan,Female,Boston,23-01-2018,
60,Dulsea Gherardelli,Female,Boston,02-01-2018,
98,Rochelle Haliburton,Female,Boston,26-02-2019,
120,Emalee Braham,Female,Boston,01-04-2018,
204,Lynna Parmeter,Female,Boston,04-12-2018,
217,Clem Penke,Female,Boston,03-12-2018,
308,Nathalia Jordin,Female,Boston,15-12-2018,
328,Hollie Clinch,Female,Boston,24-03-2018,
447,Jerrine Dietz,Female,Boston,21-04-2018,
467,Kacy Gandey,Female,Boston,05-04-2018,
475,Glynda Bidwell,Female,Boston,21-02-2019,
631,George Castledine,Female,Boston,16-09-2018,
717,Brit Evitts,Female,Boston,19-01-2019,
732,Kaitlin McOwen,Female,Boston,05-08-2018,
